# 2km 경쟁점 폐업 대조 — 판정칸(영업/폐업/모름)은 비어 있다. 채우지 않은 칸은 '모름'이다.
등급,매장명,매장코드,구분,거리m,상호,주소,위도,경도,공식DB,같은자리의심,카카오맵링크,판정,메모
-,양주덕정점,20231019404,500m안,245,썬게임장,경기 양주시 독바위로 30-1,37.838375,127.062444,,,"https://map.kakao.com/link/map/%EC%8D%AC%EA%B2%8C%EC%9E%84%EC%9E%A5,37.83837519020426,127.06244370682215",,
-,양주덕정점,20231019404,500m안,265,양주시 VR체험관,경기 양주시 화합로1426번길 90,37.838135,127.068049,,,"https://map.kakao.com/link/map/%EC%96%91%EC%A3%BC%EC%8B%9C%20VR%EC%B2%B4%ED%97%98%EA%B4%80,37.8381351340774,127.068048718884",,
A,검단사거리점,20260529432,500m밖,1404,제로백PC 인천마전역점,인천 검단구 완정로 43,37.595915,126.669294,,,"https://map.kakao.com/link/map/%EC%A0%9C%EB%A1%9C%EB%B0%B1PC%20%EC%9D%B8%EC%B2%9C%EB%A7%88%EC%A0%84%EC%97%AD%EC%A0%90,37.5959154174504,126.669294236949",,
A,검단사거리점,20260529432,500m밖,1673,아이센스리그PC방 인천마전점,인천 검단구 완정로 18,37.595086,126.672199,,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EC%84%BC%EC%8A%A4%EB%A6%AC%EA%B7%B8PC%EB%B0%A9%20%EC%9D%B8%EC%B2%9C%EB%A7%88%EC%A0%84%EC%A0%90,37.595085601928005,126.67219893571084",,
A,검단사거리점,20260529432,500m밖,1707,딜라잇PC,인천 검단구 완정로 14,37.594835,126.672475,,,"https://map.kakao.com/link/map/%EB%94%9C%EB%9D%BC%EC%9E%87PC,37.59483499324606,126.67247519001985",,
-,검단사거리점,20260529432,500m안,71,블레스PC,인천 검단구 검단로 465,37.601733,126.656038,,VVIP PC,"https://map.kakao.com/link/map/%EB%B8%94%EB%A0%88%EC%8A%A4PC,37.6017330441262,126.656038314984",,
-,검단사거리점,20260529432,500m안,71,VVIP PC,인천 검단구 검단로 465,37.601725,126.656035,,블레스PC,"https://map.kakao.com/link/map/VVIP%20PC,37.60172492545669,126.65603495507558",,
-,검단사거리점,20260529432,500m안,78,본PC존,인천 검단구 검단로459번길 3-1,37.601632,126.654984,,,"https://map.kakao.com/link/map/%EB%B3%B8PC%EC%A1%B4,37.6016317606378,126.654984491241",,
-,검단사거리점,20260529432,500m안,83,스마일월드,인천 검단구 검단로 457,37.601471,126.655326,,,"https://map.kakao.com/link/map/%EC%8A%A4%EB%A7%88%EC%9D%BC%EC%9B%94%EB%93%9C,37.6014705812118,126.655326095536",,
-,검단사거리점,20260529432,500m안,137,geekstar pc cafe 검단점,인천 검단구 검단로 470,37.601507,126.656783,,,"https://map.kakao.com/link/map/geekstar%20pc%20cafe%20%EA%B2%80%EB%8B%A8%EC%A0%90,37.6015072635718,126.656783358153",,
-,검단사거리점,20260529432,500m안,191,배틀존 PC,인천 검단구 검단로 480,37.601801,126.657612,,24시바둑이PC,"https://map.kakao.com/link/map/%EB%B0%B0%ED%8B%80%EC%A1%B4%20PC,37.601800689271336,126.65761208146068",,
-,검단사거리점,20260529432,500m안,191,24시바둑이PC,인천 검단구 검단로 480,37.601794,126.657611,,배틀존 PC,"https://map.kakao.com/link/map/24%EC%8B%9C%EB%B0%94%EB%91%91%EC%9D%B4PC,37.6017943791708,126.657610977947",,
