매장명,매장코드,개점일,매출기간,거리m,상호,주소,위도,경도,등급,판정,메모
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,844,해피PC 화명점,부산 북구 양달로 4,35.241556,129.014579,A,영업,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,1196,넥스트PC카페,부산 북구 학사로 13,35.224007,129.007968,A,영업,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,1205,블루밍PC카페,부산 북구 학사로 5,35.223789,129.008430,A,영업,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,90,더샵PC방,부산 북구 금곡대로 287,35.234183,129.013306,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,115,우주PC카페,부산 북구 화명신도시로 120,35.234591,129.011153,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,142,어쌔신PC 화명점,부산 북구 금곡대로303번길 25,35.235437,129.012040,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,155,민트플레이 화명점,부산 북구 화명대로 27,35.235262,129.011254,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,173,아테네PC,부산 북구 화명신도시로 117,35.234743,129.010549,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,175,크라우드PC 부산화명점,부산 북구 금곡대로303번길 22,35.235733,129.012648,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,204,앤유피시방 화명점,부산 북구 화명신도시로 127,35.235357,129.010598,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,205,샹떼PC방,부산 북구 금곡대로285번길 62,35.234406,129.010076,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,219,해피로PC방 화명점,부산 북구 화명신도시로 129,35.235590,129.010641,-,,
화명대로점,20230928403,2023-09-28,2023-10 ~ 2026-08,247,OXPC 화명본점,부산 북구 금곡대로303번길 61,35.235648,129.010285,-,,
문산점,20260703437,2026-07-03,2026-07 ~ 2026-08,750,모든PC카페,경기 파주시 문산읍 방촌로 1695-21,37.864551,126.781814,A,영업,
문산점,20260703437,2026-07-03,2026-07 ~ 2026-08,1016,레벨업PC방 문산점,경기 파주시 문산읍 당동2로 11-2,37.867477,126.784198,A,영업,
문산점,20260703437,2026-07-03,2026-07 ~ 2026-08,1919,딱조아pc방,경기 파주시 문산읍 사임당로 122,37.865401,126.805148,A,모름,
문산점,20260703437,2026-07-03,2026-07 ~ 2026-08,1950,이지PC,경기 파주시 문산읍 돈유안길 135,37.861510,126.807028,A,영업,
문산점,20260703437,2026-07-03,2026-07 ~ 2026-08,46,포텐PC방,경기 파주시 문산읍 문향로 72-1,37.858229,126.785733,-,,
문산점,20260703437,2026-07-03,2026-07 ~ 2026-08,68,탑플레이스PC 파주문산점,경기 파주시 문산읍 문향로67번길 1,37.857837,126.784818,-,,
증평점,20250124422,2025-01-24,2025-01 ~ 2025-09,552,마블PC,충북 증평군 증평읍 증평로 17,36.787524,127.587878,A,영업,
증평점,20250124422,2025-01-24,2025-01 ~ 2025-09,603,맥스피드PC 증평점,충북 증평군 증평읍 증평로 27,36.786822,127.588954,A,영업,
증평점,20250124422,2025-01-24,2025-01 ~ 2025-09,978,팀플PC,충북 증평군 증평읍 초중9길 36,36.780465,127.573144,A,영업,
증평점,20250124422,2025-01-24,2025-01 ~ 2025-09,1009,크라우드PC 증평점,충북 증평군 증평읍 초중로 86,36.780742,127.572568,A,모름,
증평점,20250124422,2025-01-24,2025-01 ~ 2025-09,101,고트PC,충북 증평군 증평읍 중앙로 207-3,36.784543,127.581571,-,,
증평점,20250124422,2025-01-24,2025-01 ~ 2025-09,398,더샾pc방 증평점,충북 증평군 증평읍 중앙로 179,36.782548,127.579242,-,,
문경시청점,20240530413,2024-05-30,2024-06 ~ 2026-08,1465,크라우드PC 문경점촌점,경북 문경시 중앙6길 16,36.595935,128.201082,A,영업,
문경시청점,20240530413,2024-05-30,2024-06 ~ 2026-08,1482,팡팡피씨방,경북 문경시 신흥로 161-11,36.595668,128.201685,A,폐업,
문경시청점,20240530413,2024-05-30,2024-06 ~ 2026-08,1515,몽키2PC방,경북 문경시 호서로 30,36.597332,128.199901,A,영업,
문경시청점,20240530413,2024-05-30,2024-06 ~ 2026-08,1549,스위티 피시방,경북 문경시 호서로 33,36.597827,128.199703,A,영업,
문경시청점,20240530413,2024-05-30,2024-06 ~ 2026-08,1560,라이또 PC방 문경본점,경북 문경시 중앙로 140,36.597169,128.200962,A,폐업,
문경시청점,20240530413,2024-05-30,2024-06 ~ 2026-08,373,콤마PC 문경본점,경북 문경시 당교로 209,36.585418,128.185755,-,,
문경시청점,20240530413,2024-05-30,2024-06 ~ 2026-08,439,쨈나PC,경북 문경시 중앙로 26,36.588591,128.193837,-,,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,1034,유니인터넷PC,경기 김포시 양촌읍 양곡1로 27,37.653002,126.623931,A,폐업,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,1298,스타PC 김포양곡점,경기 김포시 양촌읍 양곡로 495,37.655168,126.628131,A,영업,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,1452,대박PC,경기 김포시 양촌읍 양곡로 494-21,37.656594,126.628108,A,폐업,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,1651,어썸PC카페,경기 김포시 양촌읍 양곡2로80번길 70,37.657809,126.631140,A,영업,
